"filename", "language", "JavaScript", "vue", "comment", "blank", "total"
"e:\静态页面\vue-base\src\router\index.js", "JavaScript", 12, 0, 0, 0, 12
"e:\静态页面\vue-base\src\views\Changearea.vue", "vue", 0, 5, 0, 0, 5
"e:\静态页面\vue-base\src\views\Collection.vue", "vue", 0, 10, 0, 0, 10
"e:\静态页面\vue-base\src\views\Complaint_record.vue", "vue", 0, 123, 2, 6, 131
"e:\静态页面\vue-base\src\views\Home.vue", "vue", 0, 53, 19, 0, 72
"e:\静态页面\vue-base\src\views\Information.vue", "vue", 0, 1, 0, 0, 1
"e:\静态页面\vue-base\src\views\Mine.vue", "vue", 0, 24, 18, 1, 43
"e:\静态页面\vue-base\src\views\Modify_Phonenumber.vue", "vue", 0, 3, 0, 0, 3
"e:\静态页面\vue-base\src\views\Order.vue", "vue", 0, 326, 0, 0, 326
"e:\静态页面\vue-base\src\views\Service.vue", "vue", 0, 24, 18, 0, 42
"e:\静态页面\vue-base\src\views\Suggestion.vue", "vue", 0, 8, 0, 0, 8
"e:\静态页面\vue-base\src\views\Test.vue", "vue", 0, 220, 3, 5, 228
"e:\静态页面\vue-base\src\views\Unbind.vue", "vue", 0, 3, 0, 0, 3
"Total", "-", 12, 800, 60, 12, 884