"filename", "language", "JSON", "HTML", "JavaScript", "vue", "Markdown", "CSS", "XML", "comment", "blank", "total"
"e:\静态页面\vue-base\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 12, 30
"e:\静态页面\vue-base\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"e:\静态页面\vue-base\package-lock.json", "JSON", 923, 0, 0, 0, 0, 0, 0, 0, 1, 924
"e:\静态页面\vue-base\package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\静态页面\vue-base\src\App.vue", "vue", 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"e:\静态页面\vue-base\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 58, 0, 2, 14, 74
"e:\静态页面\vue-base\src\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"e:\静态页面\vue-base\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"e:\静态页面\vue-base\src\main.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 10, 23
"e:\静态页面\vue-base\src\router\index.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 2, 4, 141
"e:\静态页面\vue-base\src\views\Change_password.vue", "vue", 0, 0, 0, 98, 0, 0, 0, 1, 8, 107
"e:\静态页面\vue-base\src\views\Changearea.vue", "vue", 0, 0, 0, 114, 0, 0, 0, 1, 9, 124
"e:\静态页面\vue-base\src\views\Collection.vue", "vue", 0, 0, 0, 118, 0, 0, 0, 1, 8, 127
"e:\静态页面\vue-base\src\views\Community_activity.vue", "vue", 0, 0, 0, 291, 0, 0, 0, 8, 7, 306
"e:\静态页面\vue-base\src\views\Complaint_record.vue", "vue", 0, 0, 0, 123, 0, 0, 0, 2, 6, 131
"e:\静态页面\vue-base\src\views\Coupon.vue", "vue", 0, 0, 0, 170, 0, 0, 0, 3, 12, 185
"e:\静态页面\vue-base\src\views\Feedback.vue", "vue", 0, 0, 0, 110, 0, 0, 0, 1, 8, 119
"e:\静态页面\vue-base\src\views\Home.vue", "vue", 0, 0, 0, 268, 0, 0, 0, 24, 4, 296
"e:\静态页面\vue-base\src\views\Information.vue", "vue", 0, 0, 0, 180, 0, 0, 0, 1, 16, 197
"e:\静态页面\vue-base\src\views\Integral.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 1, 4, 127
"e:\静态页面\vue-base\src\views\Login.vue", "vue", 0, 0, 0, 115, 0, 0, 0, 11, 7, 133
"e:\静态页面\vue-base\src\views\Mine.vue", "vue", 0, 0, 0, 192, 0, 0, 0, 22, 14, 228
"e:\静态页面\vue-base\src\views\Modify_Phonenumber.vue", "vue", 0, 0, 0, 133, 0, 0, 0, 5, 6, 144
"e:\静态页面\vue-base\src\views\Online_repair.vue", "vue", 0, 0, 0, 98, 0, 0, 0, 2, 7, 107
"e:\静态页面\vue-base\src\views\Order.vue", "vue", 0, 0, 0, 541, 0, 0, 0, 1, 10, 552
"e:\静态页面\vue-base\src\views\Parking.vue", "vue", 0, 0, 0, 182, 0, 0, 0, 1, 4, 187
"e:\静态页面\vue-base\src\views\Pay.vue", "vue", 0, 0, 0, 152, 0, 0, 0, 0, 4, 156
"e:\静态页面\vue-base\src\views\Person.vue", "vue", 0, 0, 0, 77, 0, 0, 0, 1, 4, 82
"e:\静态页面\vue-base\src\views\Person_add.vue", "vue", 0, 0, 0, 100, 0, 0, 0, 1, 7, 108
"e:\静态页面\vue-base\src\views\Person_information.vue", "vue", 0, 0, 0, 195, 0, 0, 0, 5, 8, 208
"e:\静态页面\vue-base\src\views\Phone_number.vue", "vue", 0, 0, 0, 106, 0, 0, 0, 5, 5, 116
"e:\静态页面\vue-base\src\views\Property.vue", "vue", 0, 0, 0, 105, 0, 0, 0, 0, 5, 110
"e:\静态页面\vue-base\src\views\Security.vue", "vue", 0, 0, 0, 134, 0, 0, 0, 1, 6, 141
"e:\静态页面\vue-base\src\views\Service.vue", "vue", 0, 0, 0, 210, 0, 0, 0, 19, 13, 242
"e:\静态页面\vue-base\src\views\Setting.vue", "vue", 0, 0, 0, 124, 0, 0, 0, 1, 8, 133
"e:\静态页面\vue-base\src\views\Shake.vue", "vue", 0, 0, 0, 63, 0, 0, 0, 1, 4, 68
"e:\静态页面\vue-base\src\views\Smart_Opendoor.vue", "vue", 0, 0, 0, 214, 0, 0, 0, 6, 9, 229
"e:\静态页面\vue-base\src\views\Suggestion.vue", "vue", 0, 0, 0, 96, 0, 0, 0, 2, 7, 105
"e:\静态页面\vue-base\src\views\Test.vue", "vue", 0, 0, 0, 220, 0, 0, 0, 3, 5, 228
"e:\静态页面\vue-base\src\views\Unbind.vue", "vue", 0, 0, 0, 92, 0, 0, 0, 5, 5, 102
"e:\静态页面\vue-base\src\views\Wallet.vue", "vue", 0, 0, 0, 122, 0, 0, 0, 1, 4, 127
"e:\静态页面\vue-base\src\views\css\index.css", "CSS", 0, 0, 0, 0, 0, 7, 0, 3, 0, 10
"e:\静态页面\vue-base\src\views\images\mine\1\Static-page\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\静态页面\vue-base\vite.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 3, 15
"Total", "-", 943, 19, 158, 4870, 19, 94, 1, 145, 281, 6530